pid,handle,type,title,fair,identifier
umd:217075,hdl:1903.1/20751,UMD_IMAGE,"Paris-Exposition de 1900, Le Pont Alessandre III, [unreadable], Cassien-Bernard et Cousin Architectes","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:219209,hdl:1903.1/20784,UMD_IMAGE,"Exposition Universelle de 1900, La Porte Monumentale, (Paris, France)","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:217081,hdl:1903.1/20754,UMD_IMAGE,"Exposition de 1900, Le Grand Palais, La Sculpture, L.L. (Paris, France)","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:217079,hdl:1903.1/20753,UMD_IMAGE,"Exposition de 1900, Le Grand Palais, Intérieur, L.L. (Paris, France)","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:830,hdl:1903.1/140,UMD_IMAGE,Gallo-Roman House,"Exposition universelle de 1889 (Paris, France)",Call Number: 1889-par-30-0001-002
umd:836,hdl:1903.1/121,UMD_IMAGE,"Eight of Clubs, Maryland Bldg.","World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-08-0028
umd:844,hdl:1903.1/143,UMD_IMAGE,"Chicago Tribune's Miniature Guide Map of the World's Columbian Exposition at Chicago, 1893","World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-08-0252
umd:838,hdl:1903.1/142,UMD_IMAGE,"Mines Building. Official Souvenir Postal, World's Columbian Exposition.","World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-08-0073
umd:842,hdl:1903.1/146,UMD_IMAGE,"Souvenir, Machinery Hall, Chicago, 1893","World's Columbian Exposition (1893 : Chicago, Ill.)",Call Number: 1893-chi-08-0108
umd:685,hdl:1903.1/206,UMD_IMAGE,Michigan State Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0010
umd:709,hdl:1903.1/161,UMD_IMAGE,Japanese Government Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0018
umd:655,hdl:1903.1/192,UMD_IMAGE,"Fountains, Education, Social Economy","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-20-0002
umd:682,hdl:1903.1/204,UMD_IMAGE,Illinois State Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0009
umd:203,hdl:1903.1/62,UMD_IMAGE,"Illustrated price list of cottage organs manufactured by J. Estey & company, Brattleboro, Vt.","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0149
umd:217069,hdl:1903.1/20750,UMD_IMAGE,"Exposition Universelle de 1900, Parc et Palais du Champ de Mars, le Jour de l'Inauguration, le Cortege Officiel","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:217040,hdl:1903.1/20749,UMD_IMAGE,"Exposition Universelle de 1900, Perspective sur les Palais des Nations, vue prise de la Rive Droite de la Seine","Exposition universelle internationale de 1900 (Paris, France)","Series 17; Photographs—Albumen Print—Exposition Universelle Paris (Oversize Box: 5), 1900"
umd:192,hdl:1903.1/60,UMD_IMAGE,The Matchless Burdett Organ,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0141
umd:195,hdl:1903.1/58,UMD_IMAGE,"Craig, Finley and Co., steam-power printers and Lithographers","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0143
umd:199,hdl:1903.1/61,UMD_IMAGE,"Centennial Depot, Pennsylvania R.R. Co.","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0144
umd:21,hdl:1903.1/64,UMD_IMAGE,"J. Wellenberger & Ganter, manufacturers & importers of Orchestrions...","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0003
